date,index_canada,index_mexico,index_china,index_usa
30apr2025,1.0066333,.98644906,1.0075263,1.0074594
01may2025,1.0067225,.98647386,1.0080646,1.0076942
02may2025,1.0051622,.98607761,1.0084561,1.0072064
03may2025,1.0053476,.98610383,1.0085143,1.0069511
04may2025,1.0051183,.98608738,1.0084777,1.0068499
05may2025,1.0048753,.98782033,1.0086428,1.0070243
06may2025,1.0047386,.98686337,1.0087872,1.006855
07may2025,1.0057833,.9872089,1.0114036,1.0069263
08may2025,1.0062586,.98717868,1.0121942,1.0063177
09may2025,1.0047683,.98947853,1.0128381,1.0070114
10may2025,1.0046191,.98958433,1.013199,1.0072663
11may2025,1.0040708,.99039757,1.012908,1.0071152
12may2025,1.0050656,.99044245,1.0140076,1.0067301
13may2025,1.005706,.98953658,1.0138938,1.006633
14may2025,1.0043316,.98911178,1.0141255,1.0066406
15may2025,1.0047225,.98879361,1.0140851,1.0065895
16may2025,1.0044979,.98806262,1.014009,1.0053916
17may2025,1.0036993,.98913622,1.0138355,1.0053427
18may2025,1.003378,.98862588,1.0139028,1.0050104
19may2025,1.0029503,.9841758,1.0138791,1.0049914
20may2025,1.0034852,.98418939,1.0139133,1.0051447
21may2025,1.0032033,.98418903,1.0138355,1.0044078
22may2025,1.0040635,.98191154,1.0137191,1.0025724
23may2025,1.0019107,.98121083,1.0128382,1.0025712
24may2025,1.0027184,.98086584,1.0124694,1.0025258
25may2025,1.0030926,.98037237,1.0128435,1.0024788
26may2025,1.0042257,.98079896,1.0129304,1.0033252
27may2025,1.0040822,.98162991,1.0132928,1.0054816
28may2025,1.0038371,.98135287,1.0136791,1.0066209
29may2025,1.0040715,.98413295,1.0139942,1.0068904
30may2025,1.0057551,.98489916,1.0145935,1.0074999
31may2025,1.0061425,.98543769,1.0148081,1.0081354
01jun2025,1.0062032,.98598009,1.0154005,1.0084646
02jun2025,1.0067238,.98687935,1.0159217,1.0082681
03jun2025,1.007007,.98659533,1.0166006,1.0083581
04jun2025,1.0084243,.98671377,1.017015,1.0086745
05jun2025,1.0058713,.98863316,1.0170907,1.0086856
06jun2025,1.0026349,.98803741,1.0176117,1.0087129
07jun2025,1.0019912,.98910487,1.0185168,1.0086437
08jun2025,1.0018401,.98770934,1.0183271,1.0085897
09jun2025,1.0003899,.98611361,1.0179213,1.0084507
10jun2025,.99927098,.9858498,1.018012,1.0085179
11jun2025,.99994379,.98636734,1.0188922,1.0095792
12jun2025,.99925393,.98619121,1.0191373,1.0091238
13jun2025,1.000773,.98679692,1.0192261,1.0087458
14jun2025,1.0008924,.9870016,1.019683,1.0083988
15jun2025,1.0003597,.98837185,1.0194714,1.0079635
16jun2025,.99879116,.98986775,1.0210491,1.0089592
17jun2025,.99866498,.98879224,1.0221859,1.0084211
18jun2025,.99845934,.98592246,1.0221207,1.0073321
19jun2025,.99982351,.98564506,1.0218924,1.0071493
20jun2025,1.0017946,.98520941,1.0213501,1.0070462
21jun2025,1.002331,.98503399,1.0214546,1.0065432
22jun2025,1.0020565,.98484313,1.0205145,1.0062424
23jun2025,1.002575,.98258603,1.0204556,1.0059211
24jun2025,1.0022309,.98246211,1.0206351,1.0054537
25jun2025,1.0022194,.98289067,1.0198289,1.0048969
26jun2025,1.0016856,.98243868,1.01921,1.0048668
27jun2025,1.0005302,.9833585,1.0185857,1.0041568
28jun2025,.99790472,.98283285,1.0184211,1.003287
29jun2025,.99738884,.98271853,1.0175711,1.0031078
30jun2025,.99632359,.98349959,1.0172138,1.0030085
01jul2025,.99577641,.98383176,1.0179374,1.0046754
02jul2025,.9959234,.98305315,1.0178903,1.0052161
03jul2025,.99584031,.98125046,1.0177096,1.0045096
04jul2025,.99764419,.98038489,1.0177521,1.0046059
05jul2025,.99811929,.98004758,1.0176483,1.0049314
06jul2025,.99933535,.97993058,1.0182155,1.0044448
07jul2025,.99963808,.97860628,1.0187167,1.0059755
08jul2025,.99875873,.97557986,1.0165339,1.0054885
09jul2025,.99951369,.97467935,1.0163153,1.0063928
10jul2025,1.000838,.98142606,1.0165468,1.0068629
11jul2025,1.0016844,.98108894,1.0166047,1.0050699
12jul2025,1.0060122,.98536491,1.018949,1.0067865
13jul2025,1.0065271,.98495734,1.0198697,1.0087155
14jul2025,1.0064472,.98804528,1.0216391,1.0094961
15jul2025,1.0057741,.98751265,1.0223044,1.0098101
16jul2025,1.0057988,.98815209,1.0222627,1.0100377
17jul2025,1.0053955,.9891364,1.0240943,1.0104464
18jul2025,1.0050814,.98828316,1.0231146,1.0108713
19jul2025,1.0050483,.98792541,1.021994,1.0111774
20jul2025,1.0049846,.98802787,1.0210488,1.0114523
21jul2025,1.0064927,.9885295,1.0221236,1.0126238
22jul2025,1.0059497,.98891234,1.0230701,1.0124192
